PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-21,10:43:48.88,1,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,InPlay,Undefined,Bunt,Out,1,0,,85.77837,-1.326454,-2.640195,2106.047536,236.716482,2:00,5.71296,1.31655,5.89208,-25.27923,13.68564,18.49076,2.37321,0.40427,76.61176,-6.111877,0.677153,0.449271,34.44266,-49.476312,-41.246191,,,,,4.46259,4.46259,-22.796306,0.060605,-10.44532,7.90721,-1.11459,50,5.59176,4.96888,-124.18996,-3.64955,-15.8771,31.06379,-20.15494,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,64230ed0-7039-11ee-becc-2fa3f6350471,83.89696,2.3608,,9.16661,,,,2.5967,2.3608,-0.39859,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:43:48.88,2023-10-21T10:43:48.8800988-07:00,2023-10-21T17:43:48.8800988Z,GroundBall,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,616aa132-c12f-4c7b-a1b2-7e57d6d46092,54.6064,-125.33686,15.53189,5.71276,-2.90541,-10.07747,-1.30887,5.55508,-7.93855,180,2.59322,25.03588,,,,,,,,2.36621,-38.95379,,,,,,,,-0.39554,-21.95293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
2,2023-10-21,10:44:37.71,2,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.43244,-1.179403,-3.28373,2160.627607,215.36582,1:15,5.4972,1.29873,5.57832,-12.66717,22.3593,14.98276,3.33809,-0.52302,81.53594,-3.652114,-0.616379,0.425961,,,,,,,,,,,,-8.53867,11.99217,-1.02573,50,5.38757,6.82674,-130.93855,-3.01991,-14.66372,30.43729,-11.5795,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,81420b60-7039-11ee-becc-2fa3f6350471,88.48801,,,8.8965,,,,,,,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:44:37.71,2023-10-21T10:44:37.7145564-07:00,2023-10-21T17:44:37.7145564Z,,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,22ea7a81-a8ff-43dd-8ec7-d0d7fd133c3b,54.91955,-132.07717,15.21865,5.49244,-2.58674,-5.78975,-1.29137,7.37529,-7.33186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-21,10:44:52.52,2,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.02612,-1.93595,-3.07967,2197.836408,219.215788,1:15,5.47169,1.11045,5.91587,-12.15072,22.21332,17.0641,2.6591,-0.32852,81.60184,-4.338202,-0.021033,0.421914,27.57653,-4.755169,172.370754,2359.470901,,,,13.79775,13.79775,172.909968,0.301302,-9.66193,12.32516,-0.87266,50,5.30928,6.32305,-131.76162,-4.72782,-16.68042,32.68847,-10.89583,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,8a151bb0-7039-11ee-becc-2fa3f6350471,89.33684,2.3218,,9.42428,,,,,,,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:44:52.52,2023-10-21T10:44:52.5247708-07:00,2023-10-21T17:44:52.5247708Z,GroundBall,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,e7a1c3ae-cb61-42ab-889f-70f64f10628f,54.58099,-132.89325,16.34423,5.46642,-4.35062,-5.44791,-1.10155,6.90051,-8.34021,243.862966,-1.88994,-39.93201,2.52957,,,,,,,2.32264,-3.38953,-14.34448,,,,,,,0.33805,5.33812,-2.68399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2023-10-21,10:45:08.89,2,3,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,0,2,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.49467,-2.513105,-1.810621,2078.13776,253.844885,2:30,5.53303,1.23863,5.87976,-26.48375,8.52516,24.70462,0.98941,1.61522,81.12166,-7.462663,2.627904,0.425854,,,,,,,,,,,,-13.33942,5.63551,-1.10691,50,5.31472,3.07649,-131.04852,-6.65104,-22.58201,34.54035,-22.63382,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,93ce9460-7039-11ee-becc-2fa3f6350471,88.51024,,,9.373,,,,,,,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:45:08.89,2023-10-21T10:45:08.8903388-07:00,2023-10-21T17:45:08.8903388Z,,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,8e8cfd16-7406-42d6-ac91-c9a03424f32f,54.62018,-132.26066,17.27018,5.53419,-5.85675,-11.31691,-1.22878,3.86896,-11.29101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-21,10:45:24.13,2,4,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Hoiland, Cameron",1000256661,Left,CAL_MUS,Undefined,1,Top,1,1,2,TwoSeamFastBall,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.68262,-1.051817,-2.773536,2060.495076,253.670263,2:30,5.55494,1.2035,5.84747,-26.38564,8.49248,24.32682,2.37744,0.65132,81.05456,-6.003719,1.588629,0.425058,,,,,,,,,,,,-13.33446,5.09925,-0.99181,50,5.45414,5.27541,-131.30896,-3.31673,-22.6948,34.32968,-23.49531,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,9ceb30d0-7039-11ee-becc-2fa3f6350471,88.67604,,,9.62806,,,,,,,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:45:24.13,2023-10-21T10:45:24.1300000-07:00,2023-10-21T17:45:24.1300000Z,,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,330e6be8-fc4a-4c90-b8e5-58b683b64078,54.65099,-132.51935,17.16484,5.55648,-2.48834,-11.74766,-1.19192,6.07558,-11.3474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.41118,2.738772,1.68279,1.055981,-0.02169,2.22416,-0.69269,-0.36425,5.59625,-0.80044,83.8231,9.83355,-40.98052,-0.27133,84.48498,-4.55542,5.68492,18.26578,-13.54076,-1.00066,-44.54326,6.25132,High,High,High,,,High,High,High
6,2023-10-21,10:45:57.98,3,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.27357,0.749283,-1.923646,2506.600338,152.241208,11:00,5.38514,1.44687,5.63448,-38.00289,4.42059,-1.67965,2.91775,-0.48854,74.98114,-6.22683,-2.223488,0.468786,,,,,,,,,,,,0.35689,2.43165,-1.28208,50,5.4245,4.03161,-118.06413,0.27621,0.50736,20.96991,-28.71722,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,b11a4640-7039-11ee-becc-2fa3f6350471,80.40436,,,6.29243,,,,,,,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:45:57.98,2023-10-21T10:45:57.9869916-07:00,2023-10-21T17:45:57.9869916Z,,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,7c01b3cd-9372-4165-a38b-a7015d791435,54.86658,-118.92536,10.48495,5.38894,1.45563,-14.35861,-1.44723,4.01078,0.25368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-21,10:46:12.06,3,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Murray, Casey",1000127521,Right,CAL_MUS,Undefined,1,Top,2,1,0,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,89.47362,-1.61365,-2.438509,2030.579515,246.55347,2:15,5.35596,1.20863,6.20569,-23.54013,11.47965,23.53218,1.90309,0.91745,80.73352,-6.064977,1.810569,0.42592,89.97642,-14.856322,26.552198,,,,,7.44887,7.44887,16.555503,0.054482,-12.97359,6.83961,-1.03681,50,5.22293,4.55663,-129.77395,-4.38111,-21.75934,31.34099,-20.70267,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,b97c6c50-7039-11ee-becc-2fa3f6350471,88.49651,1.84618,,8.7401,,,,0.91431,1.84618,-0.98862,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:46:12.06,2023-10-21T10:46:12.0607964-07:00,2023-10-21T17:46:12.0607964Z,GroundBall,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,c93dfd5f-6239-4d6a-a14d-60856e0faf58,54.2946,-130.807,15.6705,5.35609,-3.69871,-10.35133,-1.19883,5.27386,-10.87967,180,0.91281,114.27229,,,,,,,,1.84663,-33.88632,,,,,,,,-0.98937,57.10411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2023-10-21,10:46:50.21,4,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,Undefined,1,Top,2,0,0,TwoSeamFastBall,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,88.71587,-1.090546,-2.928533,2087.825513,262.675118,2:45,5.50257,1.09127,6.14082,-31.21675,4.58036,25.32934,1.89188,0.49324,79.96499,-6.921988,1.641055,0.430621,,,,,,,,,,,,-14.08666,3.10386,-0.88076,50,5.40337,5.54205,-128.63842,-3.48456,-23.1523,31.44925,-27.07267,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,d038bc50-7039-11ee-becc-2fa3f6350471,87.53039,,,8.75088,,,,,,,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:46:50.21,2023-10-21T10:46:50.2162652-07:00,2023-10-21T17:46:50.2162652Z,,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,9218db1b-88aa-4abf-b716-2eadcc6561bc,54.36039,-129.70006,15.72462,5.50557,-2.57066,-13.53634,-1.08103,6.3236,-11.57615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-21,10:47:17.75,4,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,Undefined,1,Top,2,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1,0,,87.97237,-1.208821,-2.17645,2206.33313,222.889304,1:30,5.8333,0.70447,6.01483,-15.49914,21.00277,18.26233,3.42092,0.20918,79.10843,-4.224446,1.106773,0.43484,,,,,,,,,,,,-10.03253,11.54426,-0.54328,50,5.72995,4.07383,-127.53695,-3.07697,-16.25452,30.22383,-13.47023,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,e09f3100-7039-11ee-becc-2fa3f6350471,86.68121,,,8.86394,,,,,,,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:47:17.75,2023-10-21T10:47:17.7590000-07:00,2023-10-21T17:47:17.7590000Z,,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,71e0ed0b-05c6-4412-a653-f2f7c345dc97,54.48301,-128.59495,15.11192,5.82941,-2.60544,-6.73512,-0.69585,4.64283,-8.12726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.80294,1.946872,0.712448,1.234424,-0.16841,3.30226,-0.24115,-0.1943,5.95522,1.4264,127.28085,1.97125,0.65431,-0.01753,114.82449,-9.49136,5.94379,9.18511,-10.04663,1.37267,-3.42967,2.31082,High,High,High,,,High,High,High
10,2023-10-21,10:47:51.68,4,3,"Rodriguez, Freddy",809934,Right,CAL_MUS,"MacDonald, Liam",1000050076,Right,CAL_MUS,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.39179,1.368708,-0.867523,2573.318831,61.536464,8:00,5.66202,0.83938,5.55056,-62.12649,-8.81453,-19.67733,1.76422,-1.61113,66.90799,-9.953893,-4.383017,0.525513,,,,,,,,,,,,9.60296,-4.28075,-0.75126,50,5.73993,2.34204,-106.47451,0.5592,10.83008,21.28012,-37.00182,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231021-BaggettStadium-Private-1,f4e6d780-7039-11ee-becc-2fa3f6350471,71.72499,,,6.4838,,,,,,,456f257f-afa8-495a-9a68-1ec21d64d51a,2023-10-21,17:47:51.68,2023-10-21T10:47:51.6890844-07:00,2023-10-21T17:47:51.6890844Z,,v3,471251,471251,,"Sagouspe, Tanner",701693,Right,CAL_MUS,741ba0d3-5670-4938-8a76-6d98f2fadd12,54.95206,-107.45968,10.64006,5.67439,2.27221,-18.50091,-0.84808,1.84066,5.41504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
