PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-28,10:55:56.90,1,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Knowles, Dylan",814845,Left,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,84.96637,-0.1936,-2.810101,2150.953794,237.006239,2:00,5.60559,1.47085,5.72522,-26.6947,13.00001,17.73001,3.20049,0.32886,76.26381,-5.216225,0.359014,0.453459,,,,,,,,,,,,-10.00127,7.09319,-1.24743,50,5.57327,5.30999,-123.07422,-1.25979,-15.03944,28.89101,-21.50761,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,3d097c30-75bb-11ee-9f42-a793c603b271,83.12209,,,8.70256,,,,,,,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,17:55:56.90,2023-10-28T10:55:56.9006664-07:00,2023-10-28T17:55:56.9006664Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,f6fa1879-151f-4dd2-996d-ee6d4cf85939,54.774,-124.18983,14.4455,5.60588,-0.42928,-10.7538,-1.46369,5.89073,-7.51972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-10-28,10:56:25.01,1,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Knowles, Dylan",814845,Left,CAL_MUS,Undefined,1,Top,0,0,1,TwoSeamFastBall,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.32398,-0.369894,-3.177002,2199.73231,237.783641,2:00,5.45404,1.61474,5.77718,-25.79316,12.49465,17.60127,2.95988,0.12224,77.69137,-5.220104,-0.029278,0.44535,,,,,,,,,,,,-10.06792,6.88331,-1.36322,50,5.40812,6.21445,-125.05683,-1.6315,-15.67896,29.12841,-21.45449,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,4dc9d0b0-75bb-11ee-9f42-a793c603b271,84.6355,,,8.63262,,,,,,,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,17:56:25.01,2023-10-28T10:56:25.0108488-07:00,2023-10-28T17:56:25.0108488Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,f8cad79d-391c-4b78-9ed9-bcbe5815ddba,54.72286,-126.1521,14.56421,5.4543,-0.82479,-10.72724,-1.60798,6.804,-7.83948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-28,10:56:56.66,1,3,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.98505,-1.286394,-1.796979,2234.97634,237.508193,2:00,5.4532,1.42426,5.98428,-22.17966,13.44304,19.10517,2.41175,1.35019,80.36568,-5.480167,1.638532,0.429571,,,,,,,,,,,,-10.30032,7.67859,-1.29239,50,5.33942,3.22623,-129.05862,-3.58647,-17.13047,30.35254,-19.40381,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,60a22fc0-75bb-11ee-9f42-a793c603b271,87.74442,,,8.61937,,,,,,,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,17:56:56.66,2023-10-28T10:56:56.6615112-07:00,2023-10-28T17:56:56.6615112Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,aa165767-60dc-4ff8-9fdd-d85bf665413f,54.51387,-130.11588,15.17627,5.45257,-2.91058,-9.70191,-1.41516,3.82293,-8.56523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-28,10:57:11.86,1,4,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,78.45875,-0.315614,-0.669502,2658.18991,55.127292,7:45,5.71907,1.13924,5.66085,-46.69384,-0.1985,-2.69449,1.53356,0.29033,71.15074,-8.893809,-1.152111,0.490768,70.93643,-11.316735,-37.25123,,,,,12.93647,5.77922,-27.918807,0.093384,1.15811,0.41555,-1.0808,50,5.66271,1.4315,-113.80135,-2.13477,1.49067,24.48449,-31.63915,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,69bb49c0-75bb-11ee-9f42-a793c603b271,76.80299,1.9113,,7.30801,,,,3.82865,1.9113,-0.27603,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,17:57:11.86,2023-10-28T10:57:11.8659144-07:00,2023-10-28T17:57:11.8659144Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,79f2db83-c94b-4c3d-98a7-7f2fe4d5011b,54.83961,-114.83787,12.24224,5.72473,-0.79536,-15.81958,-1.14006,1.3684,0.74533,,3.8256,81.40723,,,,,,,,1.91207,-20.46699,,,,,,,,-0.27371,-61.90626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2023-10-28,10:57:46.06,2,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,88.37124,-1.480232,-2.801781,2328.892231,232.285464,1:45,5.5789,1.08462,5.92776,-19.49816,16.89989,20.08792,2.57862,0.1568,79.37854,-5.206658,0.802875,0.434221,99.12944,27.939098,-14.588576,2172.322095,105.42732,53.06651,-31.38506,397.52213,386.75064,-20.902569,4.732926,-11.28229,9.55217,-0.87213,50,5.44962,5.42824,-128.037,-3.88288,-18.37294,31.1194,-16.61855,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,7e1ae510-75bb-11ee-9f42-a793c603b271,86.80477,76.12629,,8.9927,,,,2.72712,2.786,-0.17885,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,17:57:46.06,2023-10-28T10:57:46.0687944-07:00,2023-10-28T17:57:46.0687944Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,76db8ebe-8503-4f23-b371-90606bf76737,54.5721,-129.14347,15.5597,5.57717,-3.292,-8.30928,-1.07675,6.0815,-9.18647,150.280673,2.72914,124.25446,-22.57698,5.26113,-0.86114,0.08147,-0.00463,0.00073,-8E-05,2.78667,68.10469,-16.98473,0.39609,0.23944,-0.15828,0.05015,-0.0076,0.00044,-0.17869,-32.36033,-0.59084,0.69837,-0.1719,0.01492,0.00183,-0.00052,3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2023-10-28,10:59:12.42,3,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.93748,2.16498,0.473507,2568.675257,59.567298,8:00,5.67425,1.32529,5.29595,-56.73192,-2.5511,-7.45036,2.98035,1.14902,66.46656,-8.180134,-0.849998,0.529778,,,,,,,,,,,,3.85642,-1.35799,-1.36276,50,5.8301,-0.5924,-105.74244,2.16404,4.32697,19.55083,-33.69772,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,b1a48f30-75bb-11ee-9f42-a793c603b271,71.14755,,,6.47093,,,,,,,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,17:59:12.42,2023-10-28T10:59:12.4230728-07:00,2023-10-28T17:59:12.4230728Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,193433a8-d111-4332-90ee-f772795d94d1,55.20436,-106.70034,9.77541,5.68362,3.81507,-16.84886,-1.32854,-0.80441,2.16348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-28,10:59:46.80,3,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,72.54985,1.682417,0.515159,2545.698495,54.377806,7:45,5.70235,1.27854,5.56601,-62.65299,-8.00941,-13.92698,2.05349,0.59923,65.84123,-9.771453,-1.975098,0.532036,93.03702,2.227425,-1.407211,1990.081366,,,,78.27249,76.68686,-3.297121,0.590124,7.27453,-4.16524,-1.31331,50,5.80595,-0.45201,-105.2219,1.15428,7.99305,21.17225,-36.75073,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,c61cbb90-75bb-11ee-9f42-a793c603b271,70.84565,2.80926,,6.70862,,,,3.30191,2.37928,-0.65044,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,17:59:46.80,2023-10-28T10:59:46.8058696-07:00,2023-10-28T17:59:46.8058696Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,f7d565c1-6f0a-4bc7-9953-1cf00da6d41e,54.93681,-106.21062,10.58612,5.71198,2.87049,-18.37536,-1.28349,-0.82528,3.99653,91.548923,3.3234,135.81997,-15.36661,,,,,,,2.39027,5.0537,-15.4575,,,,,,,-0.63837,-3.62505,-4.98322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2023-10-28,11:00:23.36,4,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,2,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.05678,-1.175425,-3.059737,2467.690185,227.897578,1:30,5.74255,1.2129,6.20156,-20.10564,15.19434,15.41454,2.98034,-0.32971,80.3728,-5.014143,-0.28098,0.42762,,,,,,,,,,,,-8.8828,8.59115,-0.98986,50,5.64392,6.25532,-129.09413,-3.22731,-14.79512,30.13488,-17.86469,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,dbe5aae0-75bb-11ee-9f42-a793c603b271,88.14462,,,8.68397,,,,,,,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,18:00:23.36,2023-10-28T11:00:23.3624136-07:00,2023-10-28T18:00:23.3624136Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,f1ef104f-dcc1-4ebf-93cc-c6fb547fb448,54.29634,-130.09317,15.06744,5.74109,-2.63505,-8.93235,-1.20537,6.74581,-7.39756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-28,11:00:37.89,4,2,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,2,0,1,FourSeamFastBall,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,88.99602,-0.124993,-3.911348,2395.197264,214.377055,1:15,5.67035,1.19959,6.23386,-17.89351,17.37973,11.04745,4.06365,-1.49379,80.35458,-3.567228,-1.922958,0.427459,56.6281,5.065729,-162.326898,1734.602987,,,,55.27423,50.73036,-165.248814,0.736897,-7.01473,9.43682,-0.91295,50,5.65222,8.38387,-128.98919,-0.77129,-11.67833,29.79707,-16.46329,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,e4813070-75bb-11ee-9f42-a793c603b271,88.17799,4.7611,,8.64144,,,,1.5123,4.01186,1.56099,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,18:00:37.89,2023-10-28T11:00:37.8978376-07:00,2023-10-28T18:00:37.8978376Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,67574a8e-ce4a-4b24-afde-94e5e30e61a7,54.26692,-129.97113,14.89853,5.6687,-0.22876,-8.23165,-1.19557,8.76872,-5.83916,68.118657,1.5123,-78.82549,5.78322,-0.08319,0.03773,0.01856,-0.00433,-0.00025,0.00024,4.01186,7.33358,-18.19889,1.28837,-0.20097,0.05024,-0.00544,0.00036,-0.00011,1.56099,-25.11565,5.75666,-0.76527,0.20029,-0.0292,0.00146,-0.00069,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2023-10-28,11:01:24.21,5,1,"Rodriguez, Freddy",809934,Right,CAL_MUS,"Higuchi, Mackenzee",1000216589,Right,CAL_MUS,Undefined,1,Top,2,0,0,FourSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.48528,-0.55586,-2.381572,2322.467533,225.598298,1:30,5.78573,1.17162,5.96255,-17.6804,17.78721,16.79962,3.79646,0.36194,80.16766,-3.962946,0.635073,0.428635,,,,,,,,,,,,-9.31993,9.65536,-0.99145,50,5.73178,4.65391,-129.65892,-1.75011,-15.55756,32.01852,-16.05651,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231028-BaggettStadium-Private-1,00276fb0-75bc-11ee-9f42-a793c603b271,87.93605,,,9.31762,,,,,,,ca49c321-2bdb-4ddb-b15b-f55175987729,2023-10-28,18:01:24.21,2023-10-28T11:01:24.2142280-07:00,2023-10-28T18:01:24.2142280Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,06f9a9cf-89ba-48d4-b4df-8943c3b8269d,54.53383,-130.77373,16.00926,5.78299,-1.19107,-8.02825,-1.16292,5.19559,-7.77878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
