PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-20,14:19:03.19,1,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Knowles, Dylan",814845,Right,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.42893,-0.603548,2.955561,2556.333233,82.805208,8:45,5.47389,-1.89644,5.52011,-33.62955,-0.22976,-10.60363,2.10634,-0.01418,84.18354,-6.763089,1.066266,0.415952,,,,,,,,,,,,6.22103,0.39957,1.64617,50,5.3988,-6.4293,-133.99595,-2.73681,11.2412,30.61292,-31.45202,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,4a2aeb70-6f8e-11ee-91a9-877a2defffbc,90.61729,,,8.24539,,,,,,,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:19:03.19,2023-10-20T14:19:03.1989988-07:00,2023-10-20T21:19:03.1989988Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,b2c2482f-f5d5-43c7-93fd-bea345204eb9,54.98033,-135.12897,15.30646,5.47855,-1.57274,-15.72601,1.89183,-6.84535,5.6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-10-20,14:19:24.12,1,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Knowles, Dylan",814845,Right,CAL_MUS,Undefined,1,Top,0,0,1,TwoSeamFastBall,Sinker,InPlay,Undefined,Bunt,Out,1,0,,91.82209,-0.555937,2.502562,2640.702324,121.005053,10:00,5.55053,-1.80778,5.40578,-26.25549,7.51587,-10.72851,2.84115,-0.35544,83.93466,-5.394819,0.595541,0.418259,,,,,,,,,,,,6.14036,4.23666,1.59273,50,5.48263,-5.33843,-133.2262,-2.28431,11.03282,28.69924,-24.56177,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,56a24ba0-6f8e-11ee-91a9-877a2defffbc,90.1174,,,7.88743,,,,,,,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:19:24.12,2023-10-20T14:19:24.1204452-07:00,2023-10-20T21:19:24.1204452Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,17f7e463-3978-4b3a-9d05-d6dc98511574,55.09592,-134.31946,14.34962,5.55182,-1.34865,-12.28089,1.8041,-5.75871,5.51641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-20,14:20:09.35,2,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.36154,0.510094,0.830963,2634.172982,126.3803,10:15,5.46811,-1.85907,5.34824,-25.2906,9.30973,-10.9693,3.83909,-1.99367,82.3322,-4.192858,-1.118029,0.423362,,,,,,,,,,,,5.69894,4.87331,1.79209,50,5.49642,-1.39321,-132.39757,0.23682,9.9832,31.72157,-23.63716,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,71958e90-6f8e-11ee-91a9-877a2defffbc,89.03127,,,9.02934,,,,,,,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:20:09.35,2023-10-20T14:20:09.3590244-07:00,2023-10-20T21:20:09.3590244Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,3bdd671e-0e19-47b0-8b9d-aa097532750a,55.14803,-133.62532,15.86079,5.46955,1.15166,-11.81858,1.85349,-1.7796,4.9916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-20,14:20:24.19,2,2,"Wright, Jakob",1000114562,Left,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,1,0,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,87.75038,-1.134561,1.563553,2940.021373,235.389071,1:45,5.4197,-1.73622,5.40672,-30.85667,5.87111,6.95107,1.78472,0.30841,81.01521,-6.77236,2.800093,0.436183,82.17792,-34.96881,-87.214146,,,,,4.35563,2.79464,-50.214477,0.032498,-3.13209,3.54528,1.5918,50,5.29686,-3.77408,-127.45989,-3.65502,-5.18268,24.76317,-26.30767,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,7a732630-6f8e-11ee-91a9-877a2defffbc,86.41431,2.25018,,6.73517,,,,2.63087,2.25018,-0.13355,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:20:24.19,2023-10-20T14:20:24.1912036-07:00,2023-10-20T21:20:24.1912036Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,6b798c2a-bbe6-45e7-b609-c84ae2f5e1c3,55.09592,-128.44612,12.38159,5.42156,-2.60728,-13.15384,1.738,-3.56767,-2.59134,,2.63081,4.8118,,,,,,,,2.25104,-69.24155,,,,,,,,-0.13233,-98.88484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2023-10-20,14:20:43.11,2,3,"Wright, Jakob",1000114562,Left,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,1,1,TwoSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.31758,-0.756412,1.447419,2601.881203,131.710899,10:30,5.4973,-1.7135,5.32509,-20.92682,12.55387,-12.64371,3.04331,-1.40859,83.45478,-4.687497,-0.798089,0.416455,,,,,,,,,,,,6.76469,6.90067,1.59179,50,5.41432,-2.79078,-135.07252,-2.539,12.22838,35.3267,-19.69987,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,85b7f9d0-6f8e-11ee-91a9-877a2defffbc,90.50776,,,9.8628,,,,,,,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:20:43.11,2023-10-20T14:20:43.1133412-07:00,2023-10-20T21:20:43.1133412Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,38cbd46d-6c41-4335-aae3-46b65075fac6,55.17037,-136.41808,17.66335,5.49674,-1.78865,-9.84994,1.70696,-3.25654,6.11419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-10-20,14:20:57.07,2,4,"Wright, Jakob",1000114562,Left,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,2,1,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.27994,-2.604949,3.112148,2619.850456,124.814336,10:15,5.41133,-1.83023,5.50049,-23.56486,10.3454,-13.08552,1.00579,-0.0069,83.27788,-6.986353,0.782588,0.419119,,,,,,,,,,,,7.61792,6.41618,1.56713,50,5.16757,-6.65492,-133.4799,-6.93349,13.5329,32.84545,-20.77595,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,8e0e3900-6f8e-11ee-91a9-877a2defffbc,89.93262,,,9.00206,,,,,,,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:20:57.07,2023-10-20T14:20:57.0784484-07:00,2023-10-20T21:20:57.0784484Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,d647d071-7eb7-4bf4-aa85-e321beb22a03,54.99846,-134.70426,16.42272,5.41159,-6.15904,-10.38798,1.8246,-7.15938,6.76645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-10-20,14:21:13.04,2,5,"Wright, Jakob",1000114562,Left,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,3,1,TwoSeamFastBall,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,93.09011,-2.453325,2.32061,2641.258468,119.290729,10:00,5.49129,-1.61294,5.3558,-24.1958,9.31867,-14.39639,1.17078,-0.63502,83.89283,-6.936306,-0.238384,0.416666,79.01007,39.957365,71.433054,5094.326483,20.82944,52.79339,108.00981,212.04023,108.47925,86.769337,3.370831,7.98382,5.83445,1.41483,50,5.25347,-4.7747,-134.69493,-6.68673,14.4183,33.89285,-21.63734,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,9793a960-6f8e-11ee-91a9-877a2defffbc,90.46208,53.17343,,9.19728,,,,1.74561,0.9442,0.93196,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:21:13.04,2023-10-20T14:21:13.0446052-07:00,2023-10-20T21:21:13.0446052Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,10cb5d95-5b03-4759-af38-fcf3500e176c,55.14272,-135.98282,16.94643,5.49194,-5.86454,-10.81867,1.60667,-5.32259,7.20915,,1.74638,28.25699,-14.3764,3.58716,-0.54176,-0.07021,0.04966,-0.0073,0.00028,0.94467,74.40336,-32.31875,5.09958,-0.81493,-0.03982,0.0633,-0.01319,0.0009,0.93254,84.18679,-4.21921,-1.88475,0.85848,-0.18278,-0.01961,0.01448,-0.00162,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2023-10-20,14:21:34.27,2,6,"Wright, Jakob",1000114562,Left,CAL_MUS,"Shimao, Tate",1000199114,Right,CAL_MUS,Undefined,1,Top,0,3,2,Slider,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,83.81875,-0.410485,0.987334,3116.637844,291.079956,3:45,5.31182,-1.8433,5.22278,-47.27243,-5.73154,18.76355,0.98645,0.6487,75.92509,-8.984945,4.319295,0.463884,,,,,,,,,,,,-9.10375,-2.35988,1.73734,50,5.23836,-2.89392,-121.48115,-2.63909,-13.31248,28.55827,-35.62495,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,a43d1610-6f8e-11ee-91a9-877a2defffbc,81.25404,,,7.89366,,,,,,,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:21:34.27,2023-10-20T14:21:34.2796516-07:00,2023-10-20T21:21:34.2796516Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,5b56d7be-166e-4c51-83fa-a8afb03511aa,55.27892,-122.71586,14.27913,5.31917,-1.09885,-17.81247,1.85001,-2.31836,-6.65624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-20,14:22:05.23,3,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Knowles, Dylan",814845,Right,CAL_MUS,Undefined,1,Top,0,0,0,TwoSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,2,0,,92.55893,-1.142696,2.297379,2818.011488,134.967678,10:30,5.46649,-1.82706,5.3256,-24.39123,9.23886,-8.09115,2.36058,-0.34431,83.92952,-5.656345,0.861024,0.417384,100.07764,1.44785,-2.611099,1475.773529,,,,58.28652,53.52028,-1.426128,0.407017,4.78835,5.30721,1.62533,50,5.34569,-5.00655,-134.13811,-3.59823,8.64347,31.52492,-22.59402,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,b6aaa560-6f8e-11ee-91a9-877a2defffbc,90.30644,2.57841,,8.62941,,,,2.18689,2.4425,0.38041,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:22:05.23,2023-10-20T14:22:05.2359396-07:00,2023-10-20T21:22:05.2359396Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,0eaf160c-cb2a-4f57-9238-817057f395e5,55.17462,-135.34878,15.76246,5.46721,-2.73053,-11.29701,1.82398,-5.33848,4.32174,330.873864,2.19665,146.26011,-20.93305,,,,,,,2.4543,3.31978,-23.03941,,,,,,,0.376,-6.53883,5.06415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2023-10-20,14:22:43.76,4,1,"Wright, Jakob",1000114562,Left,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.10298,0.471425,0.72694,3168.694962,278.198564,3:15,5.4127,-1.73315,5.10662,-44.33313,-1.6361,22.67025,2.16251,0.84101,74.62147,-7.611494,4.739087,0.470295,,,,,,,,,,,,-11.00457,-0.51799,1.64604,50,5.42283,-2.52068,-120.31972,-0.66777,-15.69744,29.20465,-32.91294,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231020-BaggettStadium-Private-1,cda55df0-6f8e-11ee-91a9-877a2defffbc,80.1464,,,8.48151,,,,,,,b9cb1736-aa23-47a9-a099-f84cb536c4bf,2023-10-20,21:22:43.76,2023-10-20T14:22:43.7608164-07:00,2023-10-20T21:22:43.7608164Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,ba449edb-936f-44be-a5ca-3c26fde65683,55.39291,-121.62167,14.60232,5.4199,0.79949,-16.45647,1.74281,-1.82089,-7.84872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
