PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-10-27,14:24:56.84,1,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,Bunt,FieldersChoice,1,0,,88.71219,-2.423231,-4.579179,2266.524955,207.107469,1:00,5.6073,2.29608,6.89612,-15.93741,19.21222,9.12725,2.06327,-1.12378,79.31728,-5.562918,-2.91795,0.426709,,,,,,,,,,,,-6.47611,11.46556,-2.00954,50,5.4479,9.94219,-128.33488,-5.78029,-10.53037,32.74927,-13.53069,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,45498770-750f-11ee-895e-b7c3a5a79385,88.33292,,,9.39491,,,,,,,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:24:56.84,2023-10-27T14:24:56.8441128-07:00,2023-10-27T21:24:56.8441128Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,9e9385b5-2937-4426-9aad-4387f9d97a78,53.60204,-129.2508,16.37464,5.60427,-5.40186,-6.76535,-2.29172,10.2367,-5.26519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-10-27,14:25:36.18,2,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.8288,-2.941038,-3.616377,2421.109746,220.86354,1:15,5.69978,2.37354,6.44746,-15.38001,18.41521,14.84643,1.70807,0.28354,81.82483,-5.930903,-0.929981,0.418407,,,,,,,,,,,,-8.9913,10.96847,-2.12338,50,5.48378,7.72411,-131.51526,-7.15332,-15.48751,32.18897,-13.28084,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,5cbaa880-750f-11ee-895e-b7c3a5a79385,90.08557,,,9.00397,,,,,,,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:25:36.18,2023-10-27T14:25:36.1881896-07:00,2023-10-27T21:25:36.1881896Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,b26c07c5-55cb-424f-b7b8-088949568e1c,54.05272,-132.50347,16.09449,5.69713,-6.74559,-6.64042,-2.36781,8.19958,-7.74375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-10-27,14:25:50.58,2,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.99925,0.682766,-0.338673,2660.687645,80.322455,8:45,5.704,2.36219,5.8692,-50.06196,-1.29008,-17.07198,2.16644,0.62493,69.47277,-8.52775,-3.405903,0.502639,,,,,,,,,,,,8.63426,-0.38913,-2.32482,50,5.73036,1.27021,-110.38091,-0.22212,10.5413,21.56248,-32.64913,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,655df640-750f-11ee-895e-b7c3a5a79385,74.9891,,,6.52648,,,,,,,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:25:50.58,2023-10-27T14:25:50.5895208-07:00,2023-10-27T21:25:50.5895208Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,bbac9a8d-485d-4e9b-9d6e-604694d588a0,54.6325,-111.28217,10.78124,5.71113,1.14254,-16.32457,-2.3687,0.82961,5.27065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-10-27,14:26:06.63,2,3,"Brooks, Steven",1000114564,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.02209,-2.724976,-4.512643,2560.667502,136.206219,10:30,5.68226,2.41909,6.08986,-30.77576,7.7537,-6.31949,0.58712,-2.29063,78.56192,-8.383481,-5.645426,0.446754,,,,,,,,,,,,2.0389,5.11481,-2.06711,50,5.45506,9.95906,-123.09557,-6.84935,3.13578,23.89246,-24.30752,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,6ee8e4e0-750f-11ee-895e-b7c3a5a79385,84.36965,,,6.46017,,,,,,,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:26:06.63,2023-10-27T14:26:06.6306344-07:00,2023-10-27T21:26:06.6306344Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,0104a574-c1b1-438b-81a2-df1ca329b857,54.41067,-123.94871,11.94623,5.68414,-5.98139,-12.15376,-2.42073,9.84709,1.56789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-10-27,14:26:24.86,2,4,"Brooks, Steven",1000114564,Right,CAL_MUS,"Kordic, Dylan",1000123535,Left,CAL_MUS,Undefined,1,Top,1,1,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,90.59943,-2.684714,-3.207395,2384.863802,223.096297,1:30,5.66279,2.3431,6.50333,-21.05729,12.84824,10.84631,1.4382,0.30001,81.67771,-6.698802,-1.240776,0.419089,,,,,,,,,,,,-6.81142,7.99272,-2.12335,50,5.46551,6.93634,-131.26485,-6.76306,-11.66386,32.59335,-18.48735,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,79bb95c0-750f-11ee-895e-b7c3a5a79385,89.93888,,,8.92172,,,,,,,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:26:24.86,2023-10-27T14:26:24.8657704-07:00,2023-10-27T21:26:24.8657704Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,0e6416c9-bd25-436c-98e7-88cffd29a206,53.99707,-132.25361,16.29667,5.66217,-6.20223,-9.24367,-2.33914,7.29017,-5.83193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-10-27,14:27:27.58,3,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Garza, Alejandro",1000279234,Right,CAL_MUS,Undefined,1,Top,1,0,0,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,84.66286,-1.257002,-2.305014,2398.641832,160.156121,11:15,5.69917,2.27455,6.12277,-27.34572,11.66071,-3.72839,2.25716,-0.16824,76.99815,-6.385326,-2.976405,0.44951,83.10716,49.824564,37.300675,,82.12238,104.10513,73.18386,196.59491,116.86835,41.18972,5.244999,1.23547,6.79666,-2.09603,50,5.58864,5.08607,-122.8472,-3.51651,1.86808,26.73178,-21.89715,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,9f293060-750f-11ee-895e-b7c3a5a79385,83.85224,109.27905,,7.6647,,,,3.41121,2.51155,0.0798,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:27:27.58,2023-10-27T14:27:27.5866920-07:00,2023-10-27T21:27:27.5866920Z,FlyBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,21947cf1-3e4c-4ff9-b417-7c1fed5ade0c,54.37775,-123.79614,13.36589,5.69968,-2.73919,-10.94858,-2.2754,5.01975,0.93404,204.520553,3.4667,61.51566,-13.70908,-0.88695,3.15792,-1.47186,0.31464,-0.03153,0.00117,2.49415,93.52163,-26.34156,5.59394,-3.04463,1.26923,-0.3101,0.03922,-0.00198,0.05253,48.21957,-7.73095,3.97066,-3.10797,1.42822,-0.35793,0.04531,-0.00226,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2023-10-27,14:28:11.00,4,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Yorke, Joe",1000079666,Right,CAL_MUS,Undefined,1,Top,2,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,2,0,,84.15645,-1.010515,-2.33322,1381.505926,235.217167,1:45,5.50818,2.28851,6.66117,-31.78494,7.10729,8.2143,1.93386,0.83676,76.10345,-7.013812,-0.837192,0.448852,70.87591,-18.096162,17.381449,,,,,9.82023,3.80915,6.084379,0.066386,-5.12177,4.46898,-2.13484,50,5.4276,4.68541,-122.16836,-3.04369,-7.60555,27.98707,-25.53788,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,b90a4000-750f-11ee-895e-b7c3a5a79385,83.97527,2.14984,,8.053,,,,3.48638,2.14984,-0.92447,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:28:11.00,2023-10-27T14:28:11.0074152-07:00,2023-10-27T21:28:11.0074152Z,GroundBall,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,4e31ab2c-c401-4119-b1f0-3574c68fda8d,53.83863,-123.0446,13.99353,5.51038,-2.24414,-12.76894,-2.28526,4.92353,-3.80277,,3.48341,94.57577,,,,,,,,2.15086,-32.38386,,,,,,,,-0.9254,29.60462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2023-10-27,14:28:48.27,5,1,"Brooks, Steven",1000114564,Right,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.29617,-4.196922,-4.50808,2162.112513,215.453087,1:15,5.73398,2.24678,6.63122,-15.89702,17.96174,11.943,0.54766,-0.89414,82.05912,-7.262591,-2.343649,0.4188,,,,,,,,,,,,-7.60654,11.05371,-1.94531,50,5.44168,9.8215,-130.51825,-9.98964,-13.02232,29.40116,-13.25024,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,cf463c70-750f-11ee-895e-b7c3a5a79385,90.00098,,,8.23705,,,,,,,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:28:48.27,2023-10-27T14:28:48.2733864-07:00,2023-10-27T21:28:48.2733864Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,c62f5101-81cd-4c01-93b9-aded729087e3,53.86782,-131.38664,14.70058,5.73095,-9.59828,-6.62512,-2.24107,10.20613,-6.51116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-10-27,14:29:03.35,5,2,"Brooks, Steven",1000114564,Right,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,0,1,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.59583,-0.405308,-1.930122,2431.235056,151.919952,11:00,5.70511,2.26587,6.08611,-27.98876,11.68257,-5.41874,2.99754,0.02804,75.75502,-5.694077,-2.905363,0.453325,,,,,,,,,,,,2.08378,6.60973,-2.11423,50,5.65938,4.3528,-122.54557,-1.7075,3.0924,29.65663,-22.36506,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,d83ade80-750f-11ee-895e-b7c3a5a79385,83.14661,,,8.84081,,,,,,,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:29:03.35,2023-10-27T14:29:03.3554728-07:00,2023-10-27T21:29:03.3554728Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,02ea791c-ed61-45d8-9121-cacde661893e,54.40805,-123.60774,14.82832,5.70619,-0.90649,-11.18253,-2.26814,4.24204,1.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-10-27,14:29:18.79,5,3,"Brooks, Steven",1000114564,Right,CAL_MUS,"Casillas, Aaron",802003,Right,CAL_MUS,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.73984,-2.836681,-4.950469,2238.259231,197.205456,12:30,5.57387,2.29512,6.63775,-11.49993,22.49037,6.54914,2.00673,-1.70255,81.07256,-5.149403,-3.766283,0.419613,,,,,,,,,,,,-5.09776,13.09709,-1.96188,50,5.37569,11.07668,-131.02523,-6.69208,-8.65971,33.57411,-9.92573,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20231027-BaggettStadium-Private-1,e17192a0-750f-11ee-895e-b7c3a5a79385,89.8267,,,9.66728,,,,,,,0aca9db4-373d-4778-916c-854d7119897e,2023-10-27,21:29:18.79,2023-10-27T14:29:18.7929384-07:00,2023-10-27T21:29:18.7929384Z,,v3,471251,471251,,"Stafford, Ryan",701696,Right,CAL_MUS,a5897ffc-36fb-4ee3-ab38-c7875f7b9dab,53.85643,-132.00971,16.78705,5.56765,-6.40104,-4.96286,-2.2904,11.3306,-4.32986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
